school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,F,18,U,GT3,A,4,4,AT_HOME,TEACHER,COURSE,MOTHER,2,2,0,YES,NO,NO,NO,YES,YES,NO,NO,4,3,4,1,1,3,6,5,6,6
GP,F,17,U,GT3,T,1,1,AT_HOME,OTHER,COURSE,FATHER,1,2,0,NO,YES,NO,NO,NO,YES,YES,NO,5,3,3,1,1,3,4,5,5,6
GP,F,15,U,LE3,T,1,1,AT_HOME,OTHER,OTHER,MOTHER,1,2,3,YES,NO,YES,NO,YES,YES,YES,NO,4,3,2,2,3,3,10,7,8,10
GP,F,15,U,GT3,T,4,2,HEALTH,SERVICES,HOME,MOTHER,1,3,0,NO,YES,YES,YES,YES,YES,YES,YES,3,2,2,1,1,5,2,15,14,15
GP,F,16,U,GT3,T,3,3,OTHER,OTHER,HOME,FATHER,1,2,0,NO,YES,YES,NO,YES,YES,NO,NO,4,3,2,1,2,5,4,6,10,10
GP,M,16,U,LE3,T,4,3,SERVICES,OTHER,REPUTATION,MOTHER,1,2,0,NO,YES,YES,YES,YES,YES,YES,NO,5,4,2,1,2,5,10,15,15,15
GP,M,16,U,LE3,T,2,2,OTHER,OTHER,HOME,MOTHER,1,2,0,NO,NO,NO,NO,YES,YES,YES,NO,4,4,4,1,1,3,0,12,12,11
GP,F,17,U,GT3,A,4,4,OTHER,TEACHER,HOME,MOTHER,2,2,0,YES,YES,NO,NO,YES,YES,NO,NO,4,1,4,1,1,1,6,6,5,6
GP,M,15,U,LE3,A,3,2,SERVICES,OTHER,HOME,MOTHER,1,2,0,NO,YES,YES,NO,YES,YES,YES,NO,4,2,2,1,1,1,0,16,18,19
GP,M,15,U,GT3,T,3,4,OTHER,OTHER,HOME,MOTHER,1,2,0,NO,YES,YES,YES,YES,YES,YES,NO,5,5,1,1,1,5,0,14,15,15
GP,F,15,U,GT3,T,4,4,TEACHER,HEALTH,REPUTATION,MOTHER,1,2,0,NO,YES,YES,NO,YES,YES,YES,NO,3,3,3,1,2,2,0,10,8,9
GP,F,15,U,GT3,T,2,1,SERVICES,OTHER,REPUTATION,FATHER,3,3,0,NO,YES,NO,YES,YES,YES,YES,NO,5,2,2,1,1,4,4,10,12,12
GP,M,15,U,LE3,T,4,4,HEALTH,SERVICES,COURSE,FATHER,1,1,0,NO,YES,YES,YES,YES,YES,YES,NO,4,3,3,1,3,5,2,14,14,14
GP,M,15,U,GT3,T,4,3,TEACHER,OTHER,COURSE,MOTHER,2,2,0,NO,YES,YES,NO,YES,YES,YES,NO,5,4,3,1,2,3,2,10,10,11
GP,M,15,U,GT3,A,2,2,OTHER,OTHER,HOME,OTHER,1,3,0,NO,YES,NO,NO,YES,YES,YES,YES,4,5,2,1,1,3,0,14,16,16
GP,F,16,U,GT3,T,4,4,HEALTH,OTHER,HOME,MOTHER,1,1,0,NO,YES,NO,NO,YES,YES,YES,NO,4,4,4,1,2,2,4,14,14,14
GP,F,16,U,GT3,T,4,4,SERVICES,SERVICES,REPUTATION,MOTHER,1,3,0,NO,YES,YES,YES,YES,YES,YES,NO,3,2,3,1,2,2,6,13,14,14
GP,F,16,U,GT3,T,3,3,OTHER,OTHER,REPUTATION,MOTHER,3,2,0,YES,YES,NO,YES,YES,YES,NO,NO,5,3,2,1,1,4,4,8,10,10
GP,M,17,U,GT3,T,3,2,SERVICES,SERVICES,COURSE,MOTHER,1,1,3,NO,YES,NO,YES,YES,YES,YES,NO,5,5,5,2,4,5,16,6,5,5
GP,M,16,U,LE3,T,4,3,HEALTH,OTHER,HOME,FATHER,1,1,0,NO,NO,YES,YES,YES,YES,YES,NO,3,1,3,1,3,5,4,8,10,10
GP,M,15,U,GT3,T,4,3,TEACHER,OTHER,REPUTATION,MOTHER,1,2,0,NO,NO,NO,NO,YES,YES,YES,NO,4,4,1,1,1,1,0,13,14,15
GP,M,15,U,GT3,T,4,4,HEALTH,HEALTH,OTHER,FATHER,1,1,0,NO,YES,YES,NO,YES,YES,YES,NO,5,4,2,1,1,5,0,12,15,15
GP,M,16,U,LE3,T,4,2,TEACHER,OTHER,COURSE,MOTHER,1,2,0,NO,NO,NO,YES,YES,YES,YES,NO,4,5,1,1,3,5,2,15,15,16
GP,M,16,U,LE3,T,2,2,OTHER,OTHER,REPUTATION,MOTHER,2,2,0,NO,YES,NO,YES,YES,YES,YES,NO,5,4,4,2,4,5,0,13,13,12
GP,F,15,R,GT3,T,2,4,SERVICES,HEALTH,COURSE,MOTHER,1,3,0,YES,YES,YES,YES,YES,YES,YES,NO,4,3,2,1,1,5,2,10,9,8
GP,F,16,U,GT3,T,2,2,SERVICES,SERVICES,HOME,MOTHER,1,1,2,NO,YES,YES,NO,NO,YES,YES,NO,1,2,2,1,3,5,14,6,9,8
GP,M,15,U,GT3,T,2,2,OTHER,OTHER,HOME,MOTHER,1,1,0,NO,YES,YES,NO,YES,YES,YES,NO,4,2,2,1,2,5,2,12,12,11
GP,M,15,U,GT3,T,4,2,HEALTH,SERVICES,OTHER,MOTHER,1,1,0,NO,NO,YES,NO,YES,YES,YES,NO,2,2,4,2,4,1,4,15,16,15
GP,M,16,U,LE3,A,3,4,SERVICES,OTHER,HOME,MOTHER,1,2,0,YES,YES,NO,YES,YES,YES,YES,NO,5,3,3,1,1,5,4,11,11,11
GP,M,16,U,GT3,T,4,4,TEACHER,TEACHER,HOME,MOTHER,1,2,0,NO,YES,YES,YES,YES,YES,YES,YES,4,4,5,5,5,5,16,10,12,11
GP,M,15,U,GT3,T,4,4,HEALTH,SERVICES,HOME,MOTHER,1,2,0,NO,YES,YES,NO,NO,YES,YES,NO,5,4,2,3,4,5,0,9,11,12
GP,M,15,U,GT3,T,4,4,SERVICES,SERVICES,REPUTATION,MOTHER,2,2,0,NO,YES,NO,YES,YES,YES,YES,NO,4,3,1,1,1,5,0,17,16,17
GP,M,15,R,GT3,T,4,3,TEACHER,AT_HOME,COURSE,MOTHER,1,2,0,NO,YES,NO,YES,YES,YES,YES,YES,4,5,2,1,1,5,0,17,16,16
GP,M,15,U,LE3,T,3,3,OTHER,OTHER,COURSE,MOTHER,1,2,0,NO,NO,NO,YES,NO,YES,YES,NO,5,3,2,1,1,2,0,8,10,12
GP,M,16,U,GT3,T,3,2,OTHER,OTHER,HOME,MOTHER,1,1,0,NO,YES,YES,NO,NO,YES,YES,NO,5,4,3,1,1,5,0,12,14,15
GP,F,15,U,GT3,T,2,3,OTHER,OTHER,OTHER,FATHER,2,1,0,NO,YES,NO,YES,YES,YES,NO,NO,3,5,1,1,1,5,0,8,7,6
GP,M,15,U,LE3,T,4,3,TEACHER,SERVICES,HOME,MOTHER,1,3,0,NO,YES,NO,YES,YES,YES,YES,NO,5,4,3,1,1,4,2,15,16,18
GP,M,16,R,GT3,A,4,4,OTHER,TEACHER,REPUTATION,MOTHER,2,3,0,NO,YES,NO,YES,YES,YES,YES,YES,2,4,3,1,1,5,7,15,16,15
GP,F,15,R,GT3,T,3,4,SERVICES,HEALTH,COURSE,MOTHER,1,3,0,YES,YES,YES,YES,YES,YES,YES,NO,4,3,2,1,1,5,2,12,12,11
GP,F,15,R,GT3,T,2,2,AT_HOME,OTHER,REPUTATION,MOTHER,1,1,0,YES,YES,YES,YES,YES,YES,NO,NO,4,3,1,1,1,2,8,14,13,13
GP,F,16,U,LE3,T,2,2,OTHER,OTHER,HOME,MOTHER,2,2,1,NO,YES,NO,YES,NO,YES,YES,YES,3,3,3,1,2,3,25,7,10,11
GP,M,15,U,LE3,T,4,4,TEACHER,OTHER,HOME,OTHER,1,1,0,NO,YES,NO,NO,NO,YES,YES,YES,5,4,3,2,4,5,8,12,12,12
GP,M,15,U,GT3,T,4,4,SERVICES,TEACHER,COURSE,FATHER,1,2,0,NO,YES,NO,YES,YES,YES,YES,NO,4,3,3,1,1,5,2,19,18,18
GP,M,15,U,GT3,T,2,2,SERVICES,SERVICES,COURSE,FATHER,1,1,0,YES,YES,NO,NO,YES,YES,YES,NO,5,4,1,1,1,1,0,8,8,11
GP,F,16,U,LE3,T,2,2,OTHER,AT_HOME,COURSE,FATHER,2,2,1,YES,NO,NO,YES,YES,YES,YES,NO,4,3,3,2,2,5,14,10,10,9
GP,F,15,U,LE3,A,4,3,OTHER,OTHER,COURSE,MOTHER,1,2,0,YES,YES,YES,YES,YES,YES,YES,YES,5,2,2,1,1,5,8,8,8,6
GP,F,16,U,LE3,A,3,3,OTHER,SERVICES,HOME,MOTHER,1,2,0,NO,YES,NO,NO,YES,YES,YES,NO,2,3,5,1,4,3,12,11,12,11
GP,M,16,U,GT3,T,4,3,HEALTH,SERVICES,REPUTATION,MOTHER,1,4,0,NO,NO,NO,YES,YES,YES,YES,NO,4,2,2,1,1,2,4,19,19,20
GP,M,15,U,GT3,T,4,2,TEACHER,OTHER,HOME,MOTHER,1,2,0,NO,YES,YES,NO,YES,YES,NO,NO,4,3,3,2,2,5,2,15,15,14
GP,F,15,U,GT3,T,4,4,SERVICES,TEACHER,OTHER,FATHER,1,2,1,YES,YES,NO,YES,NO,YES,YES,NO,4,4,4,1,1,3,2,7,7,7
GP,F,16,U,LE3,T,2,2,SERVICES,SERVICES,COURSE,MOTHER,3,2,0,NO,YES,YES,NO,YES,YES,YES,NO,4,3,3,2,3,4,2,12,13,13
GP,F,15,U,LE3,T,4,2,HEALTH,OTHER,OTHER,MOTHER,1,2,0,NO,YES,YES,NO,YES,YES,YES,NO,4,3,3,1,1,5,2,11,13,13
GP,M,15,U,LE3,A,4,2,HEALTH,HEALTH,OTHER,FATHER,2,1,1,NO,NO,NO,NO,YES,YES,NO,NO,5,5,5,3,4,5,6,11,11,10
GP,F,15,U,GT3,T,4,4,SERVICES,SERVICES,COURSE,MOTHER,1,1,0,YES,YES,YES,NO,YES,YES,YES,NO,3,3,4,2,3,5,0,8,10,11
GP,F,15,U,LE3,A,3,3,OTHER,OTHER,OTHER,MOTHER,1,1,0,NO,NO,YES,NO,YES,YES,YES,NO,5,3,4,4,4,1,6,10,13,13
GP,F,16,U,GT3,A,2,1,OTHER,OTHER,OTHER,MOTHER,1,2,0,NO,NO,YES,YES,YES,YES,YES,YES,5,3,4,1,1,2,8,8,9,10
GP,F,15,U,GT3,A,4,3,SERVICES,SERVICES,REPUTATION,MOTHER,1,2,0,NO,YES,YES,YES,YES,YES,YES,NO,4,3,2,1,1,1,0,14,15,15
GP,M,15,U,GT3,T,4,4,TEACHER,HEALTH,REPUTATION,MOTHER,1,2,0,NO,YES,NO,YES,YES,YES,NO,NO,3,2,2,1,1,5,4,14,15,15
GP,M,15,U,LE3,T,1,2,OTHER,AT_HOME,HOME,FATHER,1,2,0,YES,YES,NO,YES,YES,YES,YES,NO,4,3,2,1,1,5,2,9,10,9
GP,F,16,U,GT3,T,4,2,SERVICES,OTHER,COURSE,MOTHER,1,2,0,NO,YES,NO,NO,YES,YES,YES,NO,4,2,3,1,1,5,2,15,16,16
GP,F,16,R,GT3,T,4,4,HEALTH,TEACHER,OTHER,MOTHER,1,2,0,NO,YES,NO,YES,YES,YES,NO,NO,2,4,4,2,3,4,6,10,11,11
GP,F,16,U,GT3,T,1,1,SERVICES,SERVICES,COURSE,FATHER,4,1,0,YES,YES,NO,YES,NO,YES,YES,YES,5,5,5,5,5,5,6,10,8,11
GP,F,16,U,LE3,T,1,2,OTHER,SERVICES,REPUTATION,FATHER,1,2,0,YES,NO,NO,YES,YES,YES,YES,NO,4,4,3,1,1,1,4,8,10,9
GP,F,16,U,GT3,T,4,3,TEACHER,HEALTH,HOME,MOTHER,1,3,0,YES,YES,YES,YES,YES,YES,YES,NO,3,4,4,2,4,4,2,10,9,9
GP,F,15,U,LE3,T,4,3,SERVICES,SERVICES,REPUTATION,FATHER,1,2,0,YES,NO,NO,YES,YES,YES,YES,YES,4,4,4,2,4,2,0,10,10,10
GP,F,16,U,LE3,T,4,3,TEACHER,SERVICES,COURSE,MOTHER,3,2,0,NO,YES,NO,YES,YES,YES,YES,NO,5,4,3,1,2,1,2,16,15,15
GP,M,15,U,GT3,A,4,4,OTHER,SERVICES,REPUTATION,MOTHER,1,4,0,NO,YES,NO,YES,NO,YES,YES,YES,1,3,3,5,5,3,4,13,13,12
GP,F,16,U,GT3,T,3,1,SERVICES,OTHER,COURSE,MOTHER,1,4,0,YES,YES,YES,NO,YES,YES,YES,NO,4,3,3,1,2,5,4,7,7,6
GP,F,15,R,LE3,T,2,2,HEALTH,SERVICES,REPUTATION,MOTHER,2,2,0,YES,YES,YES,NO,YES,YES,YES,NO,4,1,3,1,3,4,2,8,9,8
GP,F,15,R,LE3,T,3,1,OTHER,OTHER,REPUTATION,FATHER,2,4,0,NO,YES,NO,NO,NO,YES,YES,NO,4,4,2,2,3,3,12,16,16,16
GP,M,16,U,GT3,T,3,1,OTHER,OTHER,REPUTATION,FATHER,2,4,0,NO,YES,YES,NO,YES,YES,YES,NO,4,3,2,1,1,5,0,13,15,15
GP,M,15,U,GT3,T,4,2,OTHER,OTHER,COURSE,MOTHER,1,4,0,NO,NO,NO,NO,YES,YES,YES,NO,3,3,3,1,1,3,0,10,10,10
GP,F,15,R,GT3,T,1,1,OTHER,OTHER,REPUTATION,MOTHER,1,2,2,YES,YES,NO,NO,NO,YES,YES,YES,3,3,4,2,4,5,2,8,6,5
GP,M,16,U,GT3,T,3,1,OTHER,OTHER,REPUTATION,MOTHER,1,1,0,NO,NO,NO,YES,YES,YES,NO,NO,5,3,2,2,2,5,2,12,12,14
GP,F,16,U,GT3,T,3,3,OTHER,SERVICES,HOME,MOTHER,1,2,0,YES,YES,YES,YES,YES,YES,YES,NO,4,3,3,2,4,5,54,11,12,11
GP,M,15,U,GT3,T,4,3,TEACHER,OTHER,HOME,MOTHER,1,2,0,NO,YES,YES,YES,YES,YES,YES,NO,4,3,3,2,3,5,6,9,9,10
GP,M,15,U,GT3,T,4,0,TEACHER,OTHER,COURSE,MOTHER,2,4,0,NO,NO,NO,YES,YES,YES,YES,NO,3,4,3,1,1,1,8,11,11,10
GP,F,16,U,GT3,T,2,2,OTHER,OTHER,REPUTATION,MOTHER,1,4,0,NO,NO,YES,NO,YES,YES,YES,YES,5,2,3,1,3,3,0,11,11,11
GP,M,17,U,GT3,T,2,1,OTHER,OTHER,HOME,MOTHER,2,1,3,YES,YES,NO,YES,YES,NO,YES,NO,4,5,1,1,1,3,2,8,8,10
GP,F,16,U,GT3,T,3,4,AT_HOME,OTHER,COURSE,MOTHER,1,2,0,NO,YES,NO,NO,YES,YES,YES,NO,2,4,3,1,2,3,12,5,5,5
GP,M,15,U,GT3,T,2,3,OTHER,SERVICES,COURSE,FATHER,1,1,0,YES,YES,YES,YES,NO,YES,YES,YES,3,2,2,1,3,3,2,10,12,12
GP,M,15,U,GT3,T,2,3,OTHER,OTHER,HOME,MOTHER,1,3,0,YES,NO,YES,NO,NO,YES,YES,NO,5,3,2,1,2,5,4,11,10,11
GP,F,15,U,LE3,T,3,2,SERVICES,OTHER,REPUTATION,MOTHER,1,2,0,NO,YES,YES,NO,YES,YES,YES,NO,4,4,4,1,1,5,10,7,6,6
GP,M,15,U,LE3,T,2,2,SERVICES,SERVICES,HOME,MOTHER,2,2,0,NO,NO,YES,YES,YES,YES,YES,NO,5,3,3,1,3,4,4,15,15,15
GP,F,15,U,GT3,T,1,1,OTHER,OTHER,HOME,FATHER,1,2,0,NO,YES,NO,YES,NO,YES,YES,NO,4,3,2,2,3,4,2,9,10,10
GP,F,15,U,GT3,T,4,4,SERVICES,SERVICES,REPUTATION,FATHER,2,2,2,NO,NO,YES,NO,YES,YES,YES,YES,4,4,4,2,3,5,6,7,9,8
GP,F,16,U,LE3,T,2,2,AT_HOME,OTHER,COURSE,MOTHER,1,2,0,NO,YES,NO,NO,YES,YES,NO,NO,4,3,4,1,2,2,4,8,7,6
GP,F,15,U,GT3,T,4,2,OTHER,OTHER,REPUTATION,MOTHER,1,3,0,NO,YES,NO,YES,YES,YES,YES,NO,5,3,3,1,3,1,4,13,14,14
GP,M,16,U,GT3,T,2,2,SERVICES,OTHER,REPUTATION,FATHER,2,2,1,NO,NO,YES,YES,NO,YES,YES,NO,4,4,2,1,1,3,12,11,10,10
GP,M,16,U,LE3,A,4,4,TEACHER,HEALTH,REPUTATION,MOTHER,1,2,0,NO,YES,NO,NO,YES,YES,NO,NO,4,1,3,3,5,5,18,8,6,7
GP,F,16,U,GT3,T,3,3,OTHER,OTHER,HOME,MOTHER,1,3,0,NO,YES,YES,NO,YES,YES,YES,YES,4,3,3,1,3,4,0,7,7,8
GP,F,15,U,GT3,T,4,3,SERVICES,OTHER,REPUTATION,MOTHER,1,1,0,NO,NO,YES,YES,YES,YES,YES,NO,4,5,5,1,3,1,4,16,17,18
GP,F,16,U,LE3,T,3,1,OTHER,OTHER,HOME,FATHER,1,2,0,YES,YES,NO,NO,YES,YES,NO,NO,3,3,3,2,3,2,4,7,6,6
GP,F,16,U,GT3,T,4,2,TEACHER,SERVICES,HOME,MOTHER,2,2,0,NO,YES,YES,YES,YES,YES,YES,NO,5,3,3,1,1,1,0,11,10,10
GP,M,15,U,LE3,T,2,2,SERVICES,HEALTH,REPUTATION,MOTHER,1,4,0,NO,YES,NO,YES,YES,YES,YES,NO,4,3,4,1,1,4,6,11,13,14
GP,F,15,R,GT3,T,1,1,AT_HOME,OTHER,HOME,MOTHER,2,4,1,YES,YES,YES,YES,YES,YES,YES,NO,3,1,2,1,1,1,2,7,10,10
GP,M,16,R,GT3,T,4,3,SERVICES,OTHER,REPUTATION,MOTHER,2,1,0,YES,YES,NO,YES,NO,YES,YES,NO,3,3,3,1,1,4,2,11,15,15
GP,F,16,U,GT3,T,2,1,OTHER,OTHER,COURSE,MOTHER,1,2,0,NO,YES,YES,NO,YES,YES,NO,YES,4,3,5,1,1,5,2,8,9,10
GP,F,16,U,GT3,T,4,4,OTHER,OTHER,REPUTATION,MOTHER,1,1,0,NO,NO,NO,YES,NO,YES,YES,NO,5,3,4,1,2,1,6,11,14,14
GP,F,16,U,GT3,T,4,3,OTHER,AT_HOME,COURSE,MOTHER,1,3,0,YES,YES,YES,NO,YES,YES,YES,NO,5,3,5,1,1,3,0,7,9,8
GP,M,16,U,GT3,T,4,4,SERVICES,SERVICES,OTHER,MOTHER,1,1,0,YES,YES,YES,YES,YES,YES,YES,NO,4,5,5,5,5,4,14,7,7,5
GP,M,16,U,GT3,T,4,4,SERVICES,TEACHER,OTHER,FATHER,1,3,0,NO,YES,NO,YES,YES,YES,YES,YES,4,4,3,1,1,4,0,16,17,17
GP,M,15,U,GT3,T,4,4,SERVICES,OTHER,COURSE,MOTHER,1,1,0,NO,YES,NO,YES,NO,YES,YES,NO,5,3,3,1,1,5,4,10,13,14
GP,F,15,U,GT3,T,3,2,SERVICES,OTHER,HOME,MOTHER,2,2,0,YES,YES,YES,NO,YES,YES,YES,NO,4,3,5,1,1,2,26,7,6,6
GP,M,15,U,GT3,A,3,4,SERVICES,OTHER,COURSE,MOTHER,1,2,0,NO,YES,YES,YES,YES,YES,YES,NO,5,4,4,1,1,1,0,16,18,18
GP,F,15,U,GT3,A,3,3,OTHER,HEALTH,REPUTATION,FATHER,1,4,0,YES,NO,NO,NO,YES,YES,NO,NO,4,3,3,1,1,4,10,10,11,11
GP,F,15,U,GT3,T,2,2,OTHER,OTHER,COURSE,MOTHER,1,4,0,YES,YES,YES,NO,YES,YES,YES,NO,5,1,2,1,1,3,8,7,8,8
GP,M,16,U,GT3,T,3,3,SERVICES,OTHER,HOME,FATHER,1,3,0,NO,YES,NO,YES,YES,YES,YES,NO,5,3,3,1,1,5,2,16,18,18
GP,M,15,R,GT3,T,4,4,OTHER,OTHER,HOME,FATHER,4,4,0,NO,YES,YES,YES,YES,YES,YES,YES,1,3,5,3,5,1,6,10,13,13
GP,F,16,U,LE3,T,4,4,HEALTH,HEALTH,OTHER,MOTHER,1,3,0,NO,YES,YES,YES,YES,YES,YES,YES,5,4,5,1,1,4,4,14,15,16
GP,M,15,U,LE3,A,4,4,TEACHER,TEACHER,COURSE,MOTHER,1,1,0,NO,NO,NO,YES,YES,YES,YES,NO,5,5,3,1,1,4,6,18,19,19
GP,F,16,R,GT3,T,3,3,SERVICES,OTHER,REPUTATION,FATHER,1,3,1,YES,YES,NO,YES,YES,YES,YES,NO,4,1,2,1,1,2,0,7,10,10
GP,F,16,U,GT3,T,2,2,AT_HOME,OTHER,HOME,MOTHER,1,2,1,YES,NO,NO,YES,YES,YES,YES,NO,3,1,2,1,1,5,6,10,13,13
GP,M,15,U,LE3,T,4,2,TEACHER,OTHER,COURSE,MOTHER,1,1,0,NO,NO,NO,NO,YES,YES,YES,NO,3,5,2,1,1,3,10,18,19,19
GP,M,15,R,GT3,T,2,1,HEALTH,SERVICES,REPUTATION,MOTHER,1,2,0,NO,NO,NO,YES,YES,YES,YES,YES,5,4,2,1,1,5,8,9,9,9
GP,M,16,U,GT3,T,4,4,TEACHER,TEACHER,COURSE,FATHER,1,2,0,NO,YES,NO,YES,YES,YES,YES,NO,5,4,4,1,2,5,2,15,15,16
GP,M,15,U,GT3,T,4,4,OTHER,TEACHER,REPUTATION,FATHER,2,2,0,NO,YES,NO,YES,YES,YES,NO,NO,4,4,3,1,1,2,2,11,13,14
GP,M,16,U,GT3,T,3,3,OTHER,SERVICES,HOME,FATHER,2,1,0,NO,NO,NO,YES,YES,YES,YES,NO,5,4,2,1,1,5,0,13,14,13
GP,M,17,R,GT3,T,1,3,OTHER,OTHER,COURSE,FATHER,3,2,1,NO,YES,NO,YES,YES,YES,YES,NO,5,2,4,1,4,5,20,9,7,8
GP,M,15,U,GT3,T,3,4,OTHER,OTHER,REPUTATION,FATHER,1,1,0,NO,NO,NO,NO,YES,YES,YES,NO,3,4,3,1,2,4,6,14,13,13
GP,F,15,U,GT3,T,1,2,AT_HOME,SERVICES,COURSE,MOTHER,1,2,0,NO,NO,NO,NO,NO,YES,YES,NO,3,2,3,1,2,1,2,16,15,15
GP,M,15,U,GT3,T,2,2,SERVICES,SERVICES,HOME,FATHER,1,4,0,NO,YES,YES,YES,YES,YES,YES,NO,5,5,4,1,2,5,6,16,14,15
GP,F,16,U,LE3,T,2,4,OTHER,HEALTH,COURSE,FATHER,2,2,0,NO,YES,YES,YES,YES,YES,YES,YES,4,2,2,1,2,5,2,13,13,13
GP,M,16,U,GT3,T,4,4,HEALTH,OTHER,COURSE,MOTHER,1,1,0,NO,YES,NO,YES,YES,YES,YES,NO,3,4,4,1,4,5,18,14,11,13
GP,F,16,U,GT3,T,2,2,OTHER,OTHER,HOME,MOTHER,1,2,0,NO,NO,YES,NO,YES,YES,YES,YES,5,4,4,1,1,5,0,8,7,8
GP,M,15,U,GT3,T,3,4,SERVICES,SERVICES,HOME,FATHER,1,1,0,YES,NO,NO,NO,YES,YES,YES,NO,5,5,5,3,2,5,0,13,13,12
GP,F,15,U,LE3,A,3,4,OTHER,OTHER,HOME,MOTHER,1,2,0,YES,NO,NO,YES,YES,YES,YES,YES,5,3,2,1,1,1,0,7,10,11
GP,F,19,U,GT3,T,0,1,AT_HOME,OTHER,COURSE,OTHER,1,2,3,NO,YES,NO,NO,NO,NO,NO,NO,3,4,2,1,1,5,2,7,8,9
GP,M,18,R,GT3,T,2,2,SERVICES,OTHER,REPUTATION,MOTHER,1,1,2,NO,YES,NO,YES,YES,YES,YES,NO,3,3,3,1,2,4,0,7,4,0
